**  
*Instance, name=Callus-part-1, part=Callus-part
*Node
      1,           0.,  -0.50999999
      2,           0.,          -1.
      3,  0.850000024,          -1.
      4,  0.850000024, -0.800000012
      5,  0.850000024,  -0.50999999
      6,   1.45000005,  -0.50999999
      7,   1.45000005, -0.800000012
      8,   1.45000005,   0.50999999
      9,  0.850000024,  0.800000012
     10,  0.850000024,   0.50999999
     11,           0.,   0.50999999
     12,           0.,           1.
     13, -0.850000024,           1.
     14, -0.850000024,  0.800000012
     15, -0.850000024,   0.50999999
     16,  -1.45000005,   0.50999999
     17,  -1.45000005,  -0.50999999
     18, -0.850000024,  -0.50999999
     19, -0.850000024, -0.800000012
     20,  -1.95000005,  -0.50999999
     21,  -1.95000005, -0.800000012
     22,  -1.45000005, -0.800000012
     23,         1.88,          10.
     24,         1.88,   0.50999999
     25,   4.44999981,   0.50999999
     26,   4.44999981,          10.
     27,         1.88,  -0.50999999
     28,   4.44999981,  -0.50999999
     29,         1.88,         -10.
     30,   1.45000005,         -10.
     31,   7.44999981,   0.50999999
     32,   7.44999981,          10.
     33,   4.44999981,         -10.
     34,   7.44999981,         -10.
     35,   7.44999981,  -0.50999999
     36,   1.45000005,          10.
     37,   1.45000005,  0.800000012
     38,   7.44999981,           0.
     39,  -1.45000005,  0.800000012
     40,  -1.95000005,  0.800000012
     41,  -1.95000005,   0.50999999
     42,  0.850000024,           1.
     43, -0.850000024,          -1.
     44,           0., -0.673333347
     45,           0., -0.836666644
     46,  0.141666666,          -1.
     47,  0.283333331,          -1.
     48,  0.425000012,          -1.
     49,  0.566666663,          -1.
     50,  0.708333313,          -1.
     51,  0.850000024, -0.654999971
     52,  0.708333313,  -0.50999999
     53,  0.566666663,  -0.50999999
     54,  0.425000012,  -0.50999999
     55,  0.283333331,  -0.50999999
     56,  0.141666666,  -0.50999999
     57,   1.29999995, -0.582499981
     58,   1.14999998, -0.654999971
     59,           1., -0.727500021
     60,           1., -0.800000012
     61,   1.14999998, -0.800000012
     62,   1.29999995, -0.800000012
     63,   1.45000005, -0.654999971
     64,   1.29999995,  0.582499981
     65,   1.14999998,  0.654999971
     66,           1.,  0.727500021
     67,  0.850000024,  0.654999971
     68,           1.,   0.50999999
     69,   1.14999998,   0.50999999
